"대분류명","중분류명","소분류명","식재료코드","식재료명","브랜드명","생산연도","규격"
"축산물","한우","한우(양지)","1123128","한우(양지)","","2024","한우/냉장/무항생제/양지/국거리/0.3*2*3(cm)/0.3kg"
"축산물","한우","한우(양지)","1123129","한우(양지)","","2024","한우/냉장/무항생제/양지/국거리/200g-300g 덩어리/1kg"
"축산물","한우","한우(양지)","1123130","한우(양지)","","2024","한우/냉장/무항생제/양지/국거리/200g-300g 덩어리/0.5kg"
"축산물","한우","한우(양지)","1123131","한우(양지)","","2024","한우/냉장/무항생제/양지/국거리/200g-300g 덩어리/0.3kg"
"축산물","한우","한우(우둔)","1123132","한우(우둔)","","2024","한우/냉장/무항생제/우둔/불고기/0.2*3*4 (cm)/1kg"
"축산물","한우","한우(우둔)","1123133","한우(우둔)","","2024","한우/냉장/무항생제/우둔/불고기/0.2*3*4 (cm)/0.5kg"
"축산물","한우","한우(우둔)","1123134","한우(우둔)","","2024","한우/냉장/무항생제/우둔/불고기/0.2*3*4 (cm)/0.3kg"
"축산물","한우","한우(우둔)","1123135","한우(우둔)","","2024","한우/냉장/무항생제/우둔/짜장,카레용/1*1*1(cm)/1kg"
"축산물","한우","한우(우둔)","1123136","한우(우둔)","","2024","한우/냉장/무항생제/우둔/짜장,카레용/1*1*1(cm)/0.5kg"
"축산물","한우","한우(우둔)","1123137","한우(우둔)","","2024","한우/냉장/무항생제/우둔/짜장,카레용/1*1*1(cm)/0.3kg"
"축산물","한우","한우(우둔)","1123138","한우(우둔)","","2024","한우/냉장/무항생제/우둔/잡채용/0.3*0.3*5 (cm)/1kg"
"축산물","한우","한우(우둔)","1123139","한우(우둔)","","2024","한우/냉장/무항생제/우둔/잡채용/0.3*0.3*5 (cm)/0.5kg"
"축산물","한우","한우(우둔)","1123140","한우(우둔)","","2024","한우/냉장/무항생제/우둔/잡채용/0.3*0.3*5 (cm)/0.3kg"
"축산물","한우","한우(우둔)","1123141","한우(우둔)","","2024","한우/냉장/무항생제/우둔/다짐육/0.5cm 다짐육/1kg"
"축산물","한우","한우(우둔)","1123142","한우(우둔)","","2024","한우/냉장/무항생제/우둔/다짐육/0.5cm 다짐육/0.5kg"
"축산물","한우","한우(우둔)","1123143","한우(우둔)","","2024","한우/냉장/무항생제/우둔/다짐육/0.5cm 다짐육/0.3kg"
"축산물","돈육","돈육(잡뼈)","1123144","돈육(잡뼈)","","2023","돈육/냉동/1등급/등뼈/탕용/0.3kg"
"축산물","돈육","돈육(등갈비)","1123145","돈육(등갈비)","","2024","돈육/냉장/무항생제/등갈비/찜,구이용/ 1/2 절단/0.3kg"
"축산물","한우","한우(사태)","1123146","한우(사태)","","2024","한우/냉장/무항생제/사태/수육용/200g~300g 덩어리/1kg"
"축산물","한우","한우(사태)","1123147","한우(사태)","","2024","한우/냉장/무항생제/사태/수육용/200g~300g 덩어리/0.5kg"
"축산물","한우","한우(사태)","1123148","한우(사태)","","2024","한우/냉장/무항생제/사태/수육용/200g~300g 덩어리/0.3kg"
"축산물","한우","한우(사태)","1123149","한우(사태)","","2024","한우/냉장/무항생제/사태/장조림/2*2*2(cm)/1kg"
"축산물","한우","한우(사태)","1123150","한우(사태)","","2024","한우/냉장/무항생제/사태/장조림/2*2*2(cm)/0.5kg"
"축산물","한우","한우(사태)","1123151","한우(사태)","","2024","한우/냉장/무항생제/사태/장조림/2*2*2(cm)/0.3kg"
"축산물","돈육","돈육(잡뼈)","1123152","돈육(잡뼈)","","2023","돈육/냉동/무항생제등뼈//탕용/1kg"
"축산물","돈육","돈육(잡뼈)","1123153","돈육(잡뼈)","","2023","돈육/냉동/무항생제등뼈//탕용/0.5kg"
"축산물","돈육","돈육(잡뼈)","1123154","돈육(잡뼈)","","2023","돈육/냉동/무항생제등뼈//탕용/0.3kg"
"축산물","돈육","돈육(등갈비)","1123155","돈육(등갈비)","","2024","돈육/냉장/무항생제/등갈비/1대씩 절단/1kg"
"축산물","돈육","돈육(등갈비)","1123156","돈육(등갈비)","","2024","돈육/냉장/무항생제/등갈비/1대씩 절단/0.5kg"
"축산물","돈육","돈육(등갈비)","1123157","돈육(등갈비)","","2024","돈육/냉장/무항생제/등갈비/1대씩 절단/0.3kg"
"축산물","한우","한우(등심)","1123158","한우(등심)","","2024","한우/냉장/2등급/등심/구이,스테이크용/0.7cm 구이용 슬라이스/1kg"
"축산물","한우","한우(등심)","1123159","한우(등심)","","2024","한우/냉장/2등급/등심/구이,스테이크용/0.7cm 구이용 슬라이스/0.5kg"
"축산물","한우","한우(등심)","1123160","한우(등심)","","2024","한우/냉장/2등급/등심/구이,스테이크용/0.7cm 구이용 슬라이스/0.3kg"
