"대분류명","중분류명","소분류명","상위식재료코드","상위식재료명","설명"
"농산물","기타채소","고사리","1397357","고사리(건데친)","가격은 1kg당이며, 발주는 0.1kg단위로 가능함/고사리(건데친)"
"농산물","기타채소","무말랭이","1397358","무말랭이","가격은 1kg당이며, 발주는 0.1kg단위로 가능함/무 장아찌 및 만두소 등 다양한 재료로 활용됩니다."
"농산물","버섯류","건표고가공품","1397360","건표고 슬라이스","가격은 1kg당이며, 발주는 0.1kg단위로 가능함/생표고버섯보다 더 깊은 향과 맛"
"농산물","버섯류","건표고가공품","1397361","건표고(쵸핑)","가격은 1kg당이며, 발주는 0.1kg단위로 가능함/생표고버섯보다 더 깊은 향과 맛"
"농산물","버섯류","건표고가공품","1397362","건표고버섯","가격은 1kg당이며, 발주는 0.1kg단위로 가능함/생표고버섯보다 더 깊은 향과 맛"
"농산물","버섯류","느타리버섯","1397363","느타리버섯","가격은 1kg당이며, 발주는 0.1kg단위로 가능함/연약한 몸체로 갓의 깨짐이 있을 수 있음"
"농산물","버섯류","느타리버섯","1397364","느타리버섯","가격은 1kg당이며, 발주는 0.1kg단위로 가능함/연약한 몸체로 갓의 깨짐이 있을 수 있음"
"농산물","버섯류","만가닥버섯","1397365","만가닥버섯","가격은 1kg당이며, 발주는 0.1kg단위로 가능함/150g단위의 포장, 최소주문 0.15kg(150g)"
"농산물","버섯류","새송이버섯","1397366","볶음새송이","가격은 1kg당이며, 발주는 0.1kg단위로 가능함/쫄깃하고 탄력 있는 식감"
"농산물","버섯류","새송이버섯","1397367","볶음새송이","가격은 1kg당이며, 발주는 0.1kg단위로 가능함/소량발주의 경우 방담비닐(버섯 전용 비닐)에 포장 공급"
"농산물","버섯류","새송이버섯","1397368","새송이버섯","가격은 1kg당이며, 발주는 0.1kg단위로 가능함/쫄깃하고 탄력 있는 식감"
"농산물","버섯류","새송이버섯","1397369","새송이버섯","가격은 1kg당이며, 발주는 0.1kg단위로 가능함/쫄깃하고 탄력 있는 식감"
"농산물","버섯류","새송이버섯","1397370","새송이버섯","가격은 1kg당이며, 발주는 0.1kg단위로 가능함/소량발주의 경우 방담비닐(버섯 전용 비닐)에 포장 공급"
"농산물","버섯류","새송이버섯","1397371","새송이버섯","가격은 1kg당이며, 발주는 0.1kg단위로 가능함/육질이 단단하고 쫄깃한 식감으로 은은한 맛과 향을 느낄수 있음"
"농산물","버섯류","애느타리버섯","1397372","애느타리버섯","가격은 1kg당이며, 발주는 0.1kg단위로 가능함/버섯 특유의 향이 강함"
"농산물","버섯류","애느타리버섯","1397373","애느타리버섯","가격은 1kg당이며, 발주는 0.1kg단위로 가능함/쫄깃한 식감으로 은은한 맛과 향을 느낄 수 있음"
"농산물","버섯류","양송이버섯","1397374","양송이버섯","가격은 1kg당이며, 발주는 0.1kg단위로 가능함/미량의 수분으로 인한 표면 갈변이 다소 있을 수 있음"
"농산물","버섯류","팽이버섯","1397375","팽이버섯","가격은 1kg당이며, 발주는 0.1kg단위로 가능함/팽이버섯"
"농산물","버섯류","팽이버섯","1397376","팽이버섯","가격은 1kg당이며, 발주는 0.1kg단위로 가능함/팽이버섯"
"농산물","버섯류","표고버섯","1397377","표고버섯(배지)","가격은 1kg당이며, 발주는 0.1kg단위로 가능함/지방이 낮고 식이섬유소가 풍부"
"농산물","버섯류","표고버섯","1397378","표고버섯(배지)","가격은 1kg당이며, 발주는 0.1kg단위로 가능함/지방이 낮고 식이섬유소가 풍부"
"농산물","버섯류","표고버섯","1397379","표고버섯(배지)","가격은 1kg당이며, 발주는 0.1kg단위로 가능함/지방이 낮고 식이섬유소가 풍부"
"농산물","과일류","오렌지(수입)","3398036","생오렌지","오렌지/대/수입산/240722_대체사입"
"농산물","버섯류","표고버섯","1397380","표고버섯(배지)","가격은 1kg당이며, 발주는 0.1kg단위로 가능함/지방이 낮고 식이섬유소가 풍부"
"농산물","버섯류","표고버섯","1397381","표고버섯(배지)","가격은 1kg당이며, 발주는 0.1kg단위로 가능함/지방이 낮고 식이섬유소가 풍부"
"농산물","버섯류","표고버섯","1397382","표고버섯(배지)","가격은 1kg당이며, 발주는 0.1kg단위로 가능함/지방이 낮고 식이섬유소가 풍부"
"농산물","버섯류","표고버섯","1397383","표고버섯(슬라이스)","가격은 1kg당이며, 발주는 0.1kg단위로 가능함/배지 표고를 일정간격 슬라이스 하여 공급"
"농산물","버섯류","표고버섯","1397384","표고버섯(유기농)","가격은 1kg당이며, 발주는 0.1kg단위로 가능함/진한 향과 탱글탱글한 식감이 우수한 대표 유기농 버섯"
"농산물","서류","감자","1397385","감자(깐것) 130-250g","가격은 1kg당이며, 발주는 0.1kg단위로 가능함/감자의 탈피 세척 후 진공포장 공급"
"농산물","서류","감자","1397389","감자(피) 150-250g","가격은 1kg당이며, 발주는 0.1kg단위로 가능함/세척과정 없이 흙감자 그대로 공급"
"농산물","서류","고구마","1397394","고구마(50~80g)","가격은 1kg당이며, 발주는 0.1kg단위로 가능함/고구마(50~80g)"
"농산물","서류","고구마","1397395","고구마(깐것)","가격은 1kg당이며, 발주는 0.1kg단위로 가능함/고구마(깐것)"
"농산물","서류","고구마","1397396","고구마(깐것/가는채)","가격은 1kg당이며, 발주는 0.1kg단위로 가능함/고구마(깐것/가는채)"
"농산물","서류","고구마","1397397","고구마(깐것/굵은채/스틱)","가격은 1kg당이며, 발주는 0.1kg단위로 가능함/고구마(깐것/굵은채/스틱)"
"농산물","서류","고구마","1397398","고구마(깐것/맛탕용)","가격은 1kg당이며, 발주는 0.1kg단위로 가능함/고구마(깐것/맛탕용)"
"농산물","서류","고구마","1397399","고구마(깐것/어슷썰기)","가격은 1kg당이며, 발주는 0.1kg단위로 가능함/고구마(깐것/어슷썰기)"
"농산물","서류","고구마","1397400","고구마(피/세척)","가격은 1kg당이며, 발주는 0.1kg단위로 가능함/고구마(피/세척)"
"농산물","서류","알감자","1397401","알감자(깐것/조림)","가격은 1kg당이며, 발주는 0.1kg단위로 가능함/빛에 노출되면 녹변될 수 있으니 어두운곳에 보관하세요"
"농산물","서류","웨지감자","1397402","웨지감자(깐)","가격은 1kg당이며, 발주는 0.1kg단위로 가능함/빛에 노출되면 녹변될 수 있으니 어두운곳에 보관하세요"
"농산물","서류","웨지감자","1397403","웨지감자(세척)","가격은 1kg당이며, 발주는 0.1kg단위로 가능함/빛에 노출되면 녹변될 수 있으니 어두운곳에 보관하세요"
"농산물","양곡부류","백미","1397404","일반미(유기농)","가격은 1kg당이며, 발주는 0.1kg단위로 가능함/백미유기농천명10kg"
"농산물","양곡부류","백미","1397405","일반미(유기농)","가격은 1kg당이며, 발주는 0.1kg단위로 가능함/백미유기농천명20kg"
"농산물","양채류","브로콜리","1397406","브로콜리","가격은 1kg당이며, 발주는 0.1kg단위로 가능함/브로콜리"
"농산물","양채류","비트","1397407","비트(뿌리)","가격은 1kg당이며, 발주는 0.1kg단위로 가능함/비트(뿌리)"
"농산물","양채류","비트","1397408","비트(뿌리)","가격은 1kg당이며, 발주는 0.1kg단위로 가능함/비트(뿌리)"
"농산물","양채류","양상추","1397409","깐양상추","가격은 1kg당이며, 발주는 0.1kg단위로 가능함/양상추"
"농산물","양채류","치커리","1397410","치커리(적색)","가격은 1kg당이며, 발주는 0.1kg단위로 가능함/특유의 씁쓰름한 맛으로 입맛을 돋우는 채소로 사용"
"농산물","양채류","치커리","1397411","치커리(청색)","가격은 1kg당이며, 발주는 0.1kg단위로 가능함/특유의 씁쓰름한 맛으로 입맛을 돋우는 채소로 사용"
"농산물","양채류","파프리카","1397412","파프리카(노랑)","가격은 1kg당이며, 발주는 0.1kg단위로 가능함/비타민C가 다량 함유"
"농산물","양채류","파프리카","1397413","파프리카(노랑)","가격은 1kg당이며, 발주는 0.1kg단위로 가능함/비타민C가 다량 함유"
"농산물","양채류","파프리카","1397414","파프리카(녹색),착색양호한것","가격은 1kg당이며, 발주는 0.1kg단위로 가능함/비타민C가 다량 함유"
"농산물","양채류","파프리카","1397415","파프리카(녹색),착색양호한것","가격은 1kg당이며, 발주는 0.1kg단위로 가능함/비타민C가 다량 함유"
"농산물","양채류","파프리카","1397416","파프리카(적색)","가격은 1kg당이며, 발주는 0.1kg단위로 가능함/비타민C가 다량 함유"
"농산물","양채류","파프리카","1397417","파프리카(적색)","가격은 1kg당이며, 발주는 0.1kg단위로 가능함/비타민C가 다량 함유"
"농산물","양채류","파프리카","1397418","파프리카(주황)","가격은 1kg당이며, 발주는 0.1kg단위로 가능함/비타민C가 다량 함유"
"농산물","양채류","파프리카","1397419","파프리카(주황)","가격은 1kg당이며, 발주는 0.1kg단위로 가능함/비타민C가 다량 함유"
"농산물","양채류","피망","1397420","피망/청","가격은 1kg당이며, 발주는 0.1kg단위로 가능함/청피망"
"농산물","양채류","피망","1397421","피망/청","가격은 1kg당이며, 발주는 0.1kg단위로 가능함/과피의 두께가 얇아 샐러드로 즐기시기에 좋습니다."
"농산물","양채류","피망","1397422","피망/청","가격은 1kg당이며, 발주는 0.1kg단위로 가능함/과피의 두께가 얇아 샐러드로 즐기시기에 좋습니다."
"농산물","엽경채류","근대","1397423","근대(청)","가격은 1kg당이며, 발주는 0.1kg단위로 가능함/근대(청)"
"농산물","엽경채류","근대","1397426","근대(청)","가격은 1kg당이며, 발주는 0.1kg단위로 가능함/구수한 된장 국/무침과 잘 어울리는 건강 잎 채소"
"농산물","엽경채류","근대","1397427","근대(청)","가격은 1kg당이며, 발주는 0.1kg단위로 가능함/구수한 된장국/무침과 잘 어울리는 건강 잎 채소"
