index,ingredient_a,ingredient_b,substitution_direction,similarity_score,substitution_reason,feature_similarity,category_similarity,category_match_level,calculation_details
1107,뽕나무버섯,백만송이버섯,뽕나무버섯→백만송이버섯,0.87,향 유사,0.66,1.0,세세분류,"Feature유사도: 0.66 | 분류유사도: 1.00 (세세분류) | 최종점수: 0.87 | 공통특성: 감칠맛, 버섯향, 식감추가, 향긋함 | 분류일치: 세세분류: 버섯류"
1108,백만송이버섯,뽕나무버섯,백만송이버섯→뽕나무버섯,0.87,향 유사,0.66,1.0,세세분류,"Feature유사도: 0.66 | 분류유사도: 1.00 (세세분류) | 최종점수: 0.87 | 공통특성: 감칠맛, 버섯향, 식감추가, 향긋함 | 분류일치: 세세분류: 버섯류"
1109,뽕나무버섯,검은비늘버섯,뽕나무버섯→검은비늘버섯,0.87,향 유사,0.66,1.0,세세분류,"Feature유사도: 0.66 | 분류유사도: 1.00 (세세분류) | 최종점수: 0.87 | 공통특성: 감칠맛, 버섯향, 식감추가, 향긋함 | 분류일치: 세세분류: 버섯류"
1110,검은비늘버섯,뽕나무버섯,검은비늘버섯→뽕나무버섯,0.87,향 유사,0.66,1.0,세세분류,"Feature유사도: 0.66 | 분류유사도: 1.00 (세세분류) | 최종점수: 0.87 | 공통특성: 감칠맛, 버섯향, 식감추가, 향긋함 | 분류일치: 세세분류: 버섯류"
1111,뽕나무버섯,버섯,뽕나무버섯→버섯,0.87,향 유사,0.67,1.0,세세분류,"Feature유사도: 0.67 | 분류유사도: 1.00 (세세분류) | 최종점수: 0.87 | 공통특성: 감칠맛, 버섯향, 식감추가, 향긋함 | 분류일치: 세세분류: 버섯류"
1112,버섯,뽕나무버섯,버섯→뽕나무버섯,0.87,향 유사,0.67,1.0,세세분류,"Feature유사도: 0.67 | 분류유사도: 1.00 (세세분류) | 최종점수: 0.87 | 공통특성: 감칠맛, 버섯향, 식감추가, 향긋함 | 분류일치: 세세분류: 버섯류"
1113,뽕나무버섯,잎새버섯,뽕나무버섯→잎새버섯,0.87,향 유사,0.66,1.0,세세분류,"Feature유사도: 0.66 | 분류유사도: 1.00 (세세분류) | 최종점수: 0.87 | 공통특성: 감칠맛, 버섯향, 식감추가, 향긋함 | 분류일치: 세세분류: 버섯류"
1114,잎새버섯,뽕나무버섯,잎새버섯→뽕나무버섯,0.87,향 유사,0.66,1.0,세세분류,"Feature유사도: 0.66 | 분류유사도: 1.00 (세세분류) | 최종점수: 0.87 | 공통특성: 감칠맛, 버섯향, 식감추가, 향긋함 | 분류일치: 세세분류: 버섯류"
1115,뽕나무버섯,풀버섯,뽕나무버섯→풀버섯,0.87,향 유사,0.66,1.0,세세분류,"Feature유사도: 0.66 | 분류유사도: 1.00 (세세분류) | 최종점수: 0.87 | 공통특성: 감칠맛, 버섯향, 식감추가, 향긋함 | 분류일치: 세세분류: 버섯류"
1116,풀버섯,뽕나무버섯,풀버섯→뽕나무버섯,0.87,향 유사,0.66,1.0,세세분류,"Feature유사도: 0.66 | 분류유사도: 1.00 (세세분류) | 최종점수: 0.87 | 공통특성: 감칠맛, 버섯향, 식감추가, 향긋함 | 분류일치: 세세분류: 버섯류"
1117,석이버섯,송이버섯,석이버섯→송이버섯,0.87,향 유사,0.68,1.0,세세분류,"Feature유사도: 0.68 | 분류유사도: 1.00 (세세분류) | 최종점수: 0.87 | 공통특성: 감칠맛, 고급풍미, 버섯향, 식감추가, 향긋함 | 분류일치: 세세분류: 버섯류"
1118,송이버섯,석이버섯,송이버섯→석이버섯,0.87,향 유사,0.68,1.0,세세분류,"Feature유사도: 0.68 | 분류유사도: 1.00 (세세분류) | 최종점수: 0.87 | 공통특성: 감칠맛, 고급풍미, 버섯향, 식감추가, 향긋함 | 분류일치: 세세분류: 버섯류"
1119,나도팽나무버섯,버섯,나도팽나무버섯→버섯,0.87,향 유사,0.66,1.0,세세분류,"Feature유사도: 0.66 | 분류유사도: 1.00 (세세분류) | 최종점수: 0.87 | 공통특성: 감칠맛, 버섯향, 식감추가, 향긋함 | 분류일치: 세세분류: 버섯류"
1120,버섯,나도팽나무버섯,버섯→나도팽나무버섯,0.87,향 유사,0.66,1.0,세세분류,"Feature유사도: 0.66 | 분류유사도: 1.00 (세세분류) | 최종점수: 0.87 | 공통특성: 감칠맛, 버섯향, 식감추가, 향긋함 | 분류일치: 세세분류: 버섯류"
1121,여름느타리버섯,버섯,여름느타리버섯→버섯,0.87,향 유사,0.66,1.0,세세분류,"Feature유사도: 0.66 | 분류유사도: 1.00 (세세분류) | 최종점수: 0.87 | 공통특성: 감칠맛, 버섯향, 식감추가, 향긋함 | 분류일치: 세세분류: 버섯류"
1122,버섯,여름느타리버섯,버섯→여름느타리버섯,0.87,향 유사,0.66,1.0,세세분류,"Feature유사도: 0.66 | 분류유사도: 1.00 (세세분류) | 최종점수: 0.87 | 공통특성: 감칠맛, 버섯향, 식감추가, 향긋함 | 분류일치: 세세분류: 버섯류"
1123,검은비늘버섯,버섯,검은비늘버섯→버섯,0.87,향 유사,0.66,1.0,세세분류,"Feature유사도: 0.66 | 분류유사도: 1.00 (세세분류) | 최종점수: 0.87 | 공통특성: 감칠맛, 버섯향, 식감추가, 향긋함 | 분류일치: 세세분류: 버섯류"
1124,버섯,검은비늘버섯,버섯→검은비늘버섯,0.87,향 유사,0.66,1.0,세세분류,"Feature유사도: 0.66 | 분류유사도: 1.00 (세세분류) | 최종점수: 0.87 | 공통특성: 감칠맛, 버섯향, 식감추가, 향긋함 | 분류일치: 세세분류: 버섯류"
1125,버섯,잎새버섯,버섯→잎새버섯,0.87,향 유사,0.66,1.0,세세분류,"Feature유사도: 0.66 | 분류유사도: 1.00 (세세분류) | 최종점수: 0.87 | 공통특성: 감칠맛, 버섯향, 식감추가, 향긋함 | 분류일치: 세세분류: 버섯류"
1126,잎새버섯,버섯,잎새버섯→버섯,0.87,향 유사,0.66,1.0,세세분류,"Feature유사도: 0.66 | 분류유사도: 1.00 (세세분류) | 최종점수: 0.87 | 공통특성: 감칠맛, 버섯향, 식감추가, 향긋함 | 분류일치: 세세분류: 버섯류"
1127,버섯,싸리버섯,버섯→싸리버섯,0.87,향 유사,0.66,1.0,세세분류,"Feature유사도: 0.66 | 분류유사도: 1.00 (세세분류) | 최종점수: 0.87 | 공통특성: 감칠맛, 버섯향, 식감추가, 향긋함 | 분류일치: 세세분류: 버섯류"
1128,싸리버섯,버섯,싸리버섯→버섯,0.87,향 유사,0.66,1.0,세세분류,"Feature유사도: 0.66 | 분류유사도: 1.00 (세세분류) | 최종점수: 0.87 | 공통특성: 감칠맛, 버섯향, 식감추가, 향긋함 | 분류일치: 세세분류: 버섯류"
1129,버섯,풀버섯,버섯→풀버섯,0.87,향 유사,0.66,1.0,세세분류,"Feature유사도: 0.66 | 분류유사도: 1.00 (세세분류) | 최종점수: 0.87 | 공통특성: 감칠맛, 버섯향, 식감추가, 향긋함 | 분류일치: 세세분류: 버섯류"
1130,풀버섯,버섯,풀버섯→버섯,0.87,향 유사,0.66,1.0,세세분류,"Feature유사도: 0.66 | 분류유사도: 1.00 (세세분류) | 최종점수: 0.87 | 공통특성: 감칠맛, 버섯향, 식감추가, 향긋함 | 분류일치: 세세분류: 버섯류"
1131,대나물,엄나무순,대나물→엄나무순,0.87,유사한 특성,0.66,1.0,세세분류,"Feature유사도: 0.66 | 분류유사도: 1.00 (세세분류) | 최종점수: 0.87 | 공통특성: 산나물, 쌉싸름함, 잎채소, 한식, 향긋함 | 분류일치: 세세분류: 산나물류"
1132,엄나무순,대나물,엄나무순→대나물,0.87,유사한 특성,0.66,1.0,세세분류,"Feature유사도: 0.66 | 분류유사도: 1.00 (세세분류) | 최종점수: 0.87 | 공통특성: 산나물, 쌉싸름함, 잎채소, 한식, 향긋함 | 분류일치: 세세분류: 산나물류"
1133,엉개나물,두릅,엉개나물→두릅,0.87,유사한 특성,0.66,1.0,세세분류,"Feature유사도: 0.66 | 분류유사도: 1.00 (세세분류) | 최종점수: 0.87 | 공통특성: 나물용, 봄나물, 산나물, 쓴맛, 향긋함 | 분류일치: 세세분류: 산나물류"
1134,두릅,엉개나물,두릅→엉개나물,0.87,유사한 특성,0.66,1.0,세세분류,"Feature유사도: 0.66 | 분류유사도: 1.00 (세세분류) | 최종점수: 0.87 | 공통특성: 나물용, 봄나물, 산나물, 쓴맛, 향긋함 | 분류일치: 세세분류: 산나물류"
1135,부지갱이,눈개승마,부지갱이→눈개승마,0.87,유사한 특성,0.68,1.0,세세분류,"Feature유사도: 0.68 | 분류유사도: 1.00 (세세분류) | 최종점수: 0.87 | 공통특성: 산나물, 은은함, 잎채소, 한식, 향긋함 | 분류일치: 세세분류: 산나물류"
1136,눈개승마,부지갱이,눈개승마→부지갱이,0.87,유사한 특성,0.68,1.0,세세분류,"Feature유사도: 0.68 | 분류유사도: 1.00 (세세분류) | 최종점수: 0.87 | 공통특성: 산나물, 은은함, 잎채소, 한식, 향긋함 | 분류일치: 세세분류: 산나물류"
1137,부지갱이,곤달비,부지갱이→곤달비,0.87,유사한 특성,0.68,1.0,세세분류,"Feature유사도: 0.68 | 분류유사도: 1.00 (세세분류) | 최종점수: 0.87 | 공통특성: 산나물, 은은함, 잎채소, 한식, 향긋함 | 분류일치: 세세분류: 산나물류"
1138,곤달비,부지갱이,곤달비→부지갱이,0.87,유사한 특성,0.68,1.0,세세분류,"Feature유사도: 0.68 | 분류유사도: 1.00 (세세분류) | 최종점수: 0.87 | 공통특성: 산나물, 은은함, 잎채소, 한식, 향긋함 | 분류일치: 세세분류: 산나물류"
1139,부지갱이,원추리,부지갱이→원추리,0.87,유사한 특성,0.68,1.0,세세분류,"Feature유사도: 0.68 | 분류유사도: 1.00 (세세분류) | 최종점수: 0.87 | 공통특성: 산나물, 은은함, 잎채소, 한식, 향긋함 | 분류일치: 세세분류: 산나물류"
1140,원추리,부지갱이,원추리→부지갱이,0.87,유사한 특성,0.68,1.0,세세분류,"Feature유사도: 0.68 | 분류유사도: 1.00 (세세분류) | 최종점수: 0.87 | 공통특성: 산나물, 은은함, 잎채소, 한식, 향긋함 | 분류일치: 세세분류: 산나물류"
1141,부지갱이,파드득나물,부지갱이→파드득나물,0.87,유사한 특성,0.68,1.0,세세분류,"Feature유사도: 0.68 | 분류유사도: 1.00 (세세분류) | 최종점수: 0.87 | 공통특성: 산나물, 은은함, 잎채소, 한식, 향긋함 | 분류일치: 세세분류: 산나물류"
1142,파드득나물,부지갱이,파드득나물→부지갱이,0.87,유사한 특성,0.68,1.0,세세분류,"Feature유사도: 0.68 | 분류유사도: 1.00 (세세분류) | 최종점수: 0.87 | 공통특성: 산나물, 은은함, 잎채소, 한식, 향긋함 | 분류일치: 세세분류: 산나물류"
1143,줄나물,눈개승마,줄나물→눈개승마,0.87,유사한 특성,0.68,1.0,세세분류,"Feature유사도: 0.68 | 분류유사도: 1.00 (세세분류) | 최종점수: 0.87 | 공통특성: 산나물, 은은함, 잎채소, 한식, 향긋함 | 분류일치: 세세분류: 산나물류"
1144,눈개승마,줄나물,눈개승마→줄나물,0.87,유사한 특성,0.68,1.0,세세분류,"Feature유사도: 0.68 | 분류유사도: 1.00 (세세분류) | 최종점수: 0.87 | 공통특성: 산나물, 은은함, 잎채소, 한식, 향긋함 | 분류일치: 세세분류: 산나물류"
1145,줄나물,곤달비,줄나물→곤달비,0.87,유사한 특성,0.68,1.0,세세분류,"Feature유사도: 0.68 | 분류유사도: 1.00 (세세분류) | 최종점수: 0.87 | 공통특성: 산나물, 은은함, 잎채소, 한식, 향긋함 | 분류일치: 세세분류: 산나물류"
1146,곤달비,줄나물,곤달비→줄나물,0.87,유사한 특성,0.68,1.0,세세분류,"Feature유사도: 0.68 | 분류유사도: 1.00 (세세분류) | 최종점수: 0.87 | 공통특성: 산나물, 은은함, 잎채소, 한식, 향긋함 | 분류일치: 세세분류: 산나물류"
1147,줄나물,원추리,줄나물→원추리,0.87,유사한 특성,0.68,1.0,세세분류,"Feature유사도: 0.68 | 분류유사도: 1.00 (세세분류) | 최종점수: 0.87 | 공통특성: 산나물, 은은함, 잎채소, 한식, 향긋함 | 분류일치: 세세분류: 산나물류"
1148,원추리,줄나물,원추리→줄나물,0.87,유사한 특성,0.68,1.0,세세분류,"Feature유사도: 0.68 | 분류유사도: 1.00 (세세분류) | 최종점수: 0.87 | 공통특성: 산나물, 은은함, 잎채소, 한식, 향긋함 | 분류일치: 세세분류: 산나물류"
1149,방풍나물,눈개승마,방풍나물→눈개승마,0.87,유사한 특성,0.68,1.0,세세분류,"Feature유사도: 0.68 | 분류유사도: 1.00 (세세분류) | 최종점수: 0.87 | 공통특성: 산나물, 은은함, 잎채소, 한식, 향긋함 | 분류일치: 세세분류: 산나물류"
1150,눈개승마,방풍나물,눈개승마→방풍나물,0.87,유사한 특성,0.68,1.0,세세분류,"Feature유사도: 0.68 | 분류유사도: 1.00 (세세분류) | 최종점수: 0.87 | 공통특성: 산나물, 은은함, 잎채소, 한식, 향긋함 | 분류일치: 세세분류: 산나물류"
1151,방풍나물,곤달비,방풍나물→곤달비,0.87,유사한 특성,0.68,1.0,세세분류,"Feature유사도: 0.68 | 분류유사도: 1.00 (세세분류) | 최종점수: 0.87 | 공통특성: 산나물, 은은함, 잎채소, 한식, 향긋함 | 분류일치: 세세분류: 산나물류"
1152,곤달비,방풍나물,곤달비→방풍나물,0.87,유사한 특성,0.68,1.0,세세분류,"Feature유사도: 0.68 | 분류유사도: 1.00 (세세분류) | 최종점수: 0.87 | 공통특성: 산나물, 은은함, 잎채소, 한식, 향긋함 | 분류일치: 세세분류: 산나물류"
1153,방풍나물,원추리,방풍나물→원추리,0.87,유사한 특성,0.68,1.0,세세분류,"Feature유사도: 0.68 | 분류유사도: 1.00 (세세분류) | 최종점수: 0.87 | 공통특성: 산나물, 은은함, 잎채소, 한식, 향긋함 | 분류일치: 세세분류: 산나물류"
1154,원추리,방풍나물,원추리→방풍나물,0.87,유사한 특성,0.68,1.0,세세분류,"Feature유사도: 0.68 | 분류유사도: 1.00 (세세분류) | 최종점수: 0.87 | 공통특성: 산나물, 은은함, 잎채소, 한식, 향긋함 | 분류일치: 세세분류: 산나물류"
1155,방풍나물,파드득나물,방풍나물→파드득나물,0.87,유사한 특성,0.68,1.0,세세분류,"Feature유사도: 0.68 | 분류유사도: 1.00 (세세분류) | 최종점수: 0.87 | 공통특성: 산나물, 은은함, 잎채소, 한식, 향긋함 | 분류일치: 세세분류: 산나물류"
1156,파드득나물,방풍나물,파드득나물→방풍나물,0.87,유사한 특성,0.68,1.0,세세분류,"Feature유사도: 0.68 | 분류유사도: 1.00 (세세분류) | 최종점수: 0.87 | 공통특성: 산나물, 은은함, 잎채소, 한식, 향긋함 | 분류일치: 세세분류: 산나물류"
1157,개미취,눈개승마,개미취→눈개승마,0.87,유사한 특성,0.68,1.0,세세분류,"Feature유사도: 0.68 | 분류유사도: 1.00 (세세분류) | 최종점수: 0.87 | 공통특성: 산나물, 은은함, 잎채소, 한식, 향긋함 | 분류일치: 세세분류: 산나물류"
1158,눈개승마,개미취,눈개승마→개미취,0.87,유사한 특성,0.68,1.0,세세분류,"Feature유사도: 0.68 | 분류유사도: 1.00 (세세분류) | 최종점수: 0.87 | 공통특성: 산나물, 은은함, 잎채소, 한식, 향긋함 | 분류일치: 세세분류: 산나물류"
1159,개미취,파드득나물,개미취→파드득나물,0.87,유사한 특성,0.68,1.0,세세분류,"Feature유사도: 0.68 | 분류유사도: 1.00 (세세분류) | 최종점수: 0.87 | 공통특성: 산나물, 은은함, 잎채소, 한식, 향긋함 | 분류일치: 세세분류: 산나물류"
1160,파드득나물,개미취,파드득나물→개미취,0.87,유사한 특성,0.68,1.0,세세분류,"Feature유사도: 0.68 | 분류유사도: 1.00 (세세분류) | 최종점수: 0.87 | 공통특성: 산나물, 은은함, 잎채소, 한식, 향긋함 | 분류일치: 세세분류: 산나물류"
1161,눈개승마,참죽나물,눈개승마→참죽나물,0.87,유사한 특성,0.68,1.0,세세분류,"Feature유사도: 0.68 | 분류유사도: 1.00 (세세분류) | 최종점수: 0.87 | 공통특성: 산나물, 은은함, 잎채소, 한식, 향긋함 | 분류일치: 세세분류: 산나물류"
1162,참죽나물,눈개승마,참죽나물→눈개승마,0.87,유사한 특성,0.68,1.0,세세분류,"Feature유사도: 0.68 | 분류유사도: 1.00 (세세분류) | 최종점수: 0.87 | 공통특성: 산나물, 은은함, 잎채소, 한식, 향긋함 | 분류일치: 세세분류: 산나물류"
1163,눈개승마,어수리,눈개승마→어수리,0.87,유사한 특성,0.68,1.0,세세분류,"Feature유사도: 0.68 | 분류유사도: 1.00 (세세분류) | 최종점수: 0.87 | 공통특성: 산나물, 은은함, 잎채소, 한식, 향긋함 | 분류일치: 세세분류: 산나물류"
1164,어수리,눈개승마,어수리→눈개승마,0.87,유사한 특성,0.68,1.0,세세분류,"Feature유사도: 0.68 | 분류유사도: 1.00 (세세분류) | 최종점수: 0.87 | 공통특성: 산나물, 은은함, 잎채소, 한식, 향긋함 | 분류일치: 세세분류: 산나물류"
1165,참죽나물,곤달비,참죽나물→곤달비,0.87,유사한 특성,0.68,1.0,세세분류,"Feature유사도: 0.68 | 분류유사도: 1.00 (세세분류) | 최종점수: 0.87 | 공통특성: 산나물, 은은함, 잎채소, 한식, 향긋함 | 분류일치: 세세분류: 산나물류"
1166,곤달비,참죽나물,곤달비→참죽나물,0.87,유사한 특성,0.68,1.0,세세분류,"Feature유사도: 0.68 | 분류유사도: 1.00 (세세분류) | 최종점수: 0.87 | 공통특성: 산나물, 은은함, 잎채소, 한식, 향긋함 | 분류일치: 세세분류: 산나물류"
1167,참죽나물,원추리,참죽나물→원추리,0.87,유사한 특성,0.68,1.0,세세분류,"Feature유사도: 0.68 | 분류유사도: 1.00 (세세분류) | 최종점수: 0.87 | 공통특성: 산나물, 은은함, 잎채소, 한식, 향긋함 | 분류일치: 세세분류: 산나물류"
1168,원추리,참죽나물,원추리→참죽나물,0.87,유사한 특성,0.68,1.0,세세분류,"Feature유사도: 0.68 | 분류유사도: 1.00 (세세분류) | 최종점수: 0.87 | 공통특성: 산나물, 은은함, 잎채소, 한식, 향긋함 | 분류일치: 세세분류: 산나물류"
1169,참죽나물,파드득나물,참죽나물→파드득나물,0.87,유사한 특성,0.68,1.0,세세분류,"Feature유사도: 0.68 | 분류유사도: 1.00 (세세분류) | 최종점수: 0.87 | 공통특성: 산나물, 은은함, 잎채소, 한식, 향긋함 | 분류일치: 세세분류: 산나물류"
1170,파드득나물,참죽나물,파드득나물→참죽나물,0.87,유사한 특성,0.68,1.0,세세분류,"Feature유사도: 0.68 | 분류유사도: 1.00 (세세분류) | 최종점수: 0.87 | 공통특성: 산나물, 은은함, 잎채소, 한식, 향긋함 | 분류일치: 세세분류: 산나물류"
1171,곤달비,어수리,곤달비→어수리,0.87,유사한 특성,0.68,1.0,세세분류,"Feature유사도: 0.68 | 분류유사도: 1.00 (세세분류) | 최종점수: 0.87 | 공통특성: 산나물, 은은함, 잎채소, 한식, 향긋함 | 분류일치: 세세분류: 산나물류"
1172,어수리,곤달비,어수리→곤달비,0.87,유사한 특성,0.68,1.0,세세분류,"Feature유사도: 0.68 | 분류유사도: 1.00 (세세분류) | 최종점수: 0.87 | 공통특성: 산나물, 은은함, 잎채소, 한식, 향긋함 | 분류일치: 세세분류: 산나물류"
1173,원추리,어수리,원추리→어수리,0.87,유사한 특성,0.68,1.0,세세분류,"Feature유사도: 0.68 | 분류유사도: 1.00 (세세분류) | 최종점수: 0.87 | 공통특성: 산나물, 은은함, 잎채소, 한식, 향긋함 | 분류일치: 세세분류: 산나물류"
1174,어수리,원추리,어수리→원추리,0.87,유사한 특성,0.68,1.0,세세분류,"Feature유사도: 0.68 | 분류유사도: 1.00 (세세분류) | 최종점수: 0.87 | 공통특성: 산나물, 은은함, 잎채소, 한식, 향긋함 | 분류일치: 세세분류: 산나물류"
1175,파드득나물,어수리,파드득나물→어수리,0.87,유사한 특성,0.68,1.0,세세분류,"Feature유사도: 0.68 | 분류유사도: 1.00 (세세분류) | 최종점수: 0.87 | 공통특성: 산나물, 은은함, 잎채소, 한식, 향긋함 | 분류일치: 세세분류: 산나물류"
1176,어수리,파드득나물,어수리→파드득나물,0.87,유사한 특성,0.68,1.0,세세분류,"Feature유사도: 0.68 | 분류유사도: 1.00 (세세분류) | 최종점수: 0.87 | 공통특성: 산나물, 은은함, 잎채소, 한식, 향긋함 | 분류일치: 세세분류: 산나물류"
1177,삼치,임연수어,삼치→임연수어,0.87,향 유사,0.69,1.0,세세분류,"Feature유사도: 0.69 | 분류유사도: 1.00 (세세분류) | 최종점수: 0.87 | 공통특성: 감칠맛, 단백함, 부드러움, 비린맛, 해산물향 | 분류일치: 세세분류: 생선류"
1178,임연수어,삼치,임연수어→삼치,0.87,향 유사,0.69,1.0,세세분류,"Feature유사도: 0.69 | 분류유사도: 1.00 (세세분류) | 최종점수: 0.87 | 공통특성: 감칠맛, 단백함, 부드러움, 비린맛, 해산물향 | 분류일치: 세세분류: 생선류"
1179,삼치,연어,삼치→연어,0.87,향 유사,0.69,1.0,세세분류,"Feature유사도: 0.69 | 분류유사도: 1.00 (세세분류) | 최종점수: 0.87 | 공통특성: 감칠맛, 고소함, 단백함, 비린맛, 해산물향 | 분류일치: 세세분류: 생선류"
1180,연어,삼치,연어→삼치,0.87,향 유사,0.69,1.0,세세분류,"Feature유사도: 0.69 | 분류유사도: 1.00 (세세분류) | 최종점수: 0.87 | 공통특성: 감칠맛, 고소함, 단백함, 비린맛, 해산물향 | 분류일치: 세세분류: 생선류"
1181,삼치,병어,삼치→병어,0.87,향 유사,0.69,1.0,세세분류,"Feature유사도: 0.69 | 분류유사도: 1.00 (세세분류) | 최종점수: 0.87 | 공통특성: 감칠맛, 단백함, 부드러움, 비린맛, 해산물향 | 분류일치: 세세분류: 생선류"
1182,병어,삼치,병어→삼치,0.87,향 유사,0.69,1.0,세세분류,"Feature유사도: 0.69 | 분류유사도: 1.00 (세세분류) | 최종점수: 0.87 | 공통특성: 감칠맛, 단백함, 부드러움, 비린맛, 해산물향 | 분류일치: 세세분류: 생선류"
1183,아귀,물메기,아귀→물메기,0.87,"향 유사, 식감 유사",0.67,1.0,세세분류,"Feature유사도: 0.67 | 분류유사도: 1.00 (세세분류) | 최종점수: 0.87 | 공통특성: 감칠맛, 담백함, 부드러움, 생선류, 수산물 | 분류일치: 세세분류: 생선류"
1184,물메기,아귀,물메기→아귀,0.87,"향 유사, 식감 유사",0.67,1.0,세세분류,"Feature유사도: 0.67 | 분류유사도: 1.00 (세세분류) | 최종점수: 0.87 | 공통특성: 감칠맛, 담백함, 부드러움, 생선류, 수산물 | 분류일치: 세세분류: 생선류"
1185,아귀,도치,아귀→도치,0.87,"향 유사, 식감 유사",0.67,1.0,세세분류,"Feature유사도: 0.67 | 분류유사도: 1.00 (세세분류) | 최종점수: 0.87 | 공통특성: 감칠맛, 담백함, 생선류, 수산물, 쫄깃함 | 분류일치: 세세분류: 생선류"
1186,도치,아귀,도치→아귀,0.87,"향 유사, 식감 유사",0.67,1.0,세세분류,"Feature유사도: 0.67 | 분류유사도: 1.00 (세세분류) | 최종점수: 0.87 | 공통특성: 감칠맛, 담백함, 생선류, 수산물, 쫄깃함 | 분류일치: 세세분류: 생선류"
1187,아귀,민어,아귀→민어,0.87,"향 유사, 식감 유사",0.67,1.0,세세분류,"Feature유사도: 0.67 | 분류유사도: 1.00 (세세분류) | 최종점수: 0.87 | 공통특성: 감칠맛, 담백함, 부드러움, 생선류, 수산물 | 분류일치: 세세분류: 생선류"
1188,민어,아귀,민어→아귀,0.87,"향 유사, 식감 유사",0.67,1.0,세세분류,"Feature유사도: 0.67 | 분류유사도: 1.00 (세세분류) | 최종점수: 0.87 | 공통특성: 감칠맛, 담백함, 부드러움, 생선류, 수산물 | 분류일치: 세세분류: 생선류"
1189,물메기,참조기,물메기→참조기,0.87,"향 유사, 식감 유사",0.67,1.0,세세분류,"Feature유사도: 0.67 | 분류유사도: 1.00 (세세분류) | 최종점수: 0.87 | 공통특성: 감칠맛, 담백함, 부드러움, 생선류, 수산물 | 분류일치: 세세분류: 생선류"
1190,참조기,물메기,참조기→물메기,0.87,"향 유사, 식감 유사",0.67,1.0,세세분류,"Feature유사도: 0.67 | 분류유사도: 1.00 (세세분류) | 최종점수: 0.87 | 공통특성: 감칠맛, 담백함, 부드러움, 생선류, 수산물 | 분류일치: 세세분류: 생선류"
1191,물메기,양태,물메기→양태,0.87,"향 유사, 식감 유사",0.68,1.0,세세분류,"Feature유사도: 0.68 | 분류유사도: 1.00 (세세분류) | 최종점수: 0.87 | 공통특성: 감칠맛, 국물용, 담백함, 생선류, 수산물 | 분류일치: 세세분류: 생선류"
1192,양태,물메기,양태→물메기,0.87,"향 유사, 식감 유사",0.68,1.0,세세분류,"Feature유사도: 0.68 | 분류유사도: 1.00 (세세분류) | 최종점수: 0.87 | 공통특성: 감칠맛, 국물용, 담백함, 생선류, 수산물 | 분류일치: 세세분류: 생선류"
1193,민어,참조기,민어→참조기,0.87,"향 유사, 식감 유사",0.67,1.0,세세분류,"Feature유사도: 0.67 | 분류유사도: 1.00 (세세분류) | 최종점수: 0.87 | 공통특성: 감칠맛, 담백함, 부드러움, 생선류, 수산물 | 분류일치: 세세분류: 생선류"
1194,참조기,민어,참조기→민어,0.87,"향 유사, 식감 유사",0.67,1.0,세세분류,"Feature유사도: 0.67 | 분류유사도: 1.00 (세세분류) | 최종점수: 0.87 | 공통특성: 감칠맛, 담백함, 부드러움, 생선류, 수산물 | 분류일치: 세세분류: 생선류"
1195,틸라피아,참조기,틸라피아→참조기,0.87,"향 유사, 식감 유사",0.67,1.0,세세분류,"Feature유사도: 0.67 | 분류유사도: 1.00 (세세분류) | 최종점수: 0.87 | 공통특성: 감칠맛, 담백함, 생선류, 수산물, 흰살생선 | 분류일치: 세세분류: 생선류"
1196,참조기,틸라피아,참조기→틸라피아,0.87,"향 유사, 식감 유사",0.67,1.0,세세분류,"Feature유사도: 0.67 | 분류유사도: 1.00 (세세분류) | 최종점수: 0.87 | 공통특성: 감칠맛, 담백함, 생선류, 수산물, 흰살생선 | 분류일치: 세세분류: 생선류"
1197,도다리,참조기,도다리→참조기,0.87,"향 유사, 식감 유사",0.67,1.0,세세분류,"Feature유사도: 0.67 | 분류유사도: 1.00 (세세분류) | 최종점수: 0.87 | 공통특성: 감칠맛, 담백함, 생선류, 수산물, 흰살생선 | 분류일치: 세세분류: 생선류"
1198,참조기,도다리,참조기→도다리,0.87,"향 유사, 식감 유사",0.67,1.0,세세분류,"Feature유사도: 0.67 | 분류유사도: 1.00 (세세분류) | 최종점수: 0.87 | 공통특성: 감칠맛, 담백함, 생선류, 수산물, 흰살생선 | 분류일치: 세세분류: 생선류"
1199,능성어,참조기,능성어→참조기,0.87,"향 유사, 식감 유사",0.67,1.0,세세분류,"Feature유사도: 0.67 | 분류유사도: 1.00 (세세분류) | 최종점수: 0.87 | 공통특성: 감칠맛, 담백함, 생선류, 수산물, 흰살생선 | 분류일치: 세세분류: 생선류"
1200,참조기,능성어,참조기→능성어,0.87,"향 유사, 식감 유사",0.67,1.0,세세분류,"Feature유사도: 0.67 | 분류유사도: 1.00 (세세분류) | 최종점수: 0.87 | 공통특성: 감칠맛, 담백함, 생선류, 수산물, 흰살생선 | 분류일치: 세세분류: 생선류"
1201,문치가자미,참조기,문치가자미→참조기,0.87,"향 유사, 식감 유사",0.67,1.0,세세분류,"Feature유사도: 0.67 | 분류유사도: 1.00 (세세분류) | 최종점수: 0.87 | 공통특성: 감칠맛, 담백함, 생선류, 수산물, 흰살생선 | 분류일치: 세세분류: 생선류"
