ingredient_keyword,coupang_url,priority,active,recipe_count,rank
돼지고기,https://link.coupang.com/a/gSLiNvQYs8,B,Y,703,90
새송이버섯,https://link.coupang.com/a/gSLnNgcgF2,B,Y,681,91
김가루,https://link.coupang.com/a/gSLmkMJ3tc,B,Y,678,92
배,https://link.coupang.com/a/gSLks4IC3o,C,Y,677,93
돼지고기앞다리살,https://link.coupang.com/a/gSLox7ZVeu,C,Y,672,94
치킨스톡,https://link.coupang.com/a/gSLoL3ARfE,C,Y,667,95
무염버터,,D,Y,665,96
감자전분,https://link.coupang.com/a/gSLrU1ommi,D,Y,663,97
쯔유,https://link.coupang.com/a/gSLpbgm45Y,C,Y,662,98
월계수잎,https://link.coupang.com/a/gSLp1fDrps,D,Y,646,99
알배추,https://link.coupang.com/a/gSLqmXjd2y,C,Y,623,100
참치캔,,D,Y,618,101
생크림,https://link.coupang.com/a/gSLrmMsjds,B,Y,592,102
쌀뜨물,https://link.coupang.com/a/gSLrcL1Jfw,D,Y,588,103
당면,https://link.coupang.com/a/gSLpQ8w32a,C,Y,582,104
베이컨,https://link.coupang.com/a/gSLnZfmOu4,C,Y,576,105
단무지,https://link.coupang.com/a/gSLqQuI9gO,C,Y,569,106
찹쌀가루,https://link.coupang.com/a/gSLr8Hu5IW,C,Y,569,107
삼겹살,https://link.coupang.com/a/gSLocj0uHc,B,Y,565,108
튀김가루,https://link.coupang.com/a/gSLtqdMvVk,C,Y,548,109
김치국물,https://link.coupang.com/a/gSLuLVOQx2,D,Y,543,110
오징어,https://link.coupang.com/a/gSLoYFMboy,B,Y,540,111
멸치,https://link.coupang.com/a/gSLmBZsChE,B,Y,539,112
순두부,https://link.coupang.com/a/gSLs0UD2c0,C,Y,535,113
느타리버섯,https://link.coupang.com/a/gSLtcVbM3U,B,Y,533,114
파스타면,https://link.coupang.com/a/gSNdDS5bEG,D,Y,530,115
페페론치노,https://link.coupang.com/a/gSLtPr3hM4,D,Y,514,116
카레,https://link.coupang.com/a/gSLtZAdADQ,C,Y,512,117
닭가슴살,https://link.coupang.com/a/gSLpvrqtFc,C,Y,508,118
소시지,https://link.coupang.com/a/gSLq1Xr1Ge,C,Y,501,119
미역,https://link.coupang.com/a/gSLtF1qMa4,C,Y,494,120
돼지고기다짐육,https://link.coupang.com/a/gSML84f3u0,D,Y,488,121
토마토소스,https://link.coupang.com/a/gSMI2wgcHk,C,Y,481,122
땅콩버터,https://link.coupang.com/a/gSLulTK6z6,D,Y,478,123
체다치즈,https://link.coupang.com/a/gSLuxm5SxM,C,Y,473,124
또띠아,https://link.coupang.com/a/gSMJrMUVWu,D,Y,459,125
쌀,https://link.coupang.com/a/gSLubItiCW,C,Y,459,126
고구마,https://link.coupang.com/a/gSLsDQ9696,B,Y,458,127
시금치,https://link.coupang.com/a/gSLqFW5pK0,C,Y,455,128
얼음,https://link.coupang.com/a/gSMKdgoLKK,D,Y,454,129
호박,https://link.coupang.com/a/gSLnBSz5hs,A,Y,447,130
마늘종,https://link.coupang.com/a/gSMJ3JndEi,C,Y,444,131
참치,https://link.coupang.com/a/gSLqcv7Nts,B,Y,426,132
파마산치즈,https://link.coupang.com/a/gSMMEzYouW,D,Y,418,133
닭다리살,https://link.coupang.com/a/gSMMQr7q68,D,Y,412,134
발사믹식초,https://link.coupang.com/a/gSM03MQfBY,B,Y,412,135
봄동,https://link.coupang.com/a/gSMKrksYnI,D,Y,409,136
슬라이스치즈,https://link.coupang.com/a/gSMLDqvyg0,D,Y,405,137
닭고기,https://link.coupang.com/a/gSLrKP6s4O,B,Y,404,138
숙주,,D,Y,402,139
소고기다짐육,https://link.coupang.com/a/gSMO4JfCkC,D,Y,401,140
